top,bottom,middle,left,right,current
0,368,0,14,0,0.22
0,398,0,17,0,0.12
0,400,0,17,0,0.32
0,399,0,18,0,0.32
0,398,0,17,0,0.22
0,396,0,17,0,0.27
0,397,0,17,0,0.22
0,400,0,19,0,0.42
0,395,0,17,0,0.27
0,403,0,17,0,0.02
0,401,0,17,0,0.17
0,397,0,17,0,0.22
0,392,0,16,0,0.32
0,389,0,16,0,0.22
0,393,0,16,0,0.27
0,396,0,16,0,0.22
0,288,0,8,0,0.02
0,307,0,10,0,0.17
0,305,0,9,0,0.32
0,389,0,16,0,0.27
0,393,0,17,0,0.46
0,395,0,17,0,0.27
0,394,0,17,0,0.37
0,395,0,17,0,0.32
0,395,0,16,0,0.27
0,395,0,17,0,0.42
0,391,0,16,0,0.22
0,438,0,17,0,0.12
0,473,0,21,0,0.17
0,473,0,21,0,0.07
0,377,0,12,0,0.12
0,466,0,20,0,0.27
0,345,0,11,0,0.27
0,384,0,11,0,0.32
0,346,0,11,0,0.17
0,384,0,14,0,0.37
0,402,0,17,0,0.46
0,404,0,17,0,0.22
0,404,0,17,0,0.07
0,391,0,17,0,0.32
0,389,0,17,0,0.27
0,370,0,14,0,0.22
0,374,0,14,0,0.07
0,380,0,15,0,0.32
0,377,0,15,0,0.22
0,322,0,11,0,0.27
0,364,0,13,0,0.22
0,347,0,11,0,0.27
0,364,0,13,0,0.17
0,385,0,15,0,0.27
0,386,0,15,0,0.37
0,388,0,15,0,0.27
0,388,0,16,0,0.12
0,389,0,16,0,0.22
0,388,0,16,0,0.32
0,388,0,16,0,0.12
0,396,0,16,0,0.22
0,382,0,15,0,0.27
0,378,0,16,0,0.17
0,387,0,15,0,0.32
0,380,0,15,0,0.17
0,375,0,12,0,0.17
0,361,0,12,0,0.27
0,325,0,11,0,0.27
0,324,0,11,0,0.17
